"Ano";"Mês";"Grupo Econômico";"Empresa";"CNPJ";"UF";"Tipo de Outorga";"Tipo de Atendimento";"Acessos"
2022;12;BRASIL TECPAR;BRASIL TECPAR;7756651000155;RS;Autorização;RURAL;48
2022;12;BRASIL TECPAR;BRASIL TECPAR;7756651000155;RS;Autorização;RURAL;210
2022;12;BRASIL TECPAR;BRASIL TECPAR;7756651000155;RS;Autorização;RURAL;73
2022;12;BRASIL TECPAR;BRASIL TECPAR;7756651000155;RS;Autorização;RURAL;1
2022;12;BRASIL TECPAR;BRASIL TECPAR;7756651000155;RS;Autorização;RURAL;30
2022;12;BRASIL TECPAR;BRASIL TECPAR;7756651000155;RS;Autorização;RURAL;12
2022;12;BRASIL TECPAR;BRASIL TECPAR;7756651000155;RS;Autorização;RURAL;73
2022;12;BRASIL TECPAR;BRASIL TECPAR;7756651000155;RS;Autorização;RURAL;8
2022;12;BRASIL TECPAR;BRASIL TECPAR;7756651000155;RS;Autorização;RURAL;6
2022;12;BRASIL TECPAR;BRASIL TECPAR;7756651000155;RS;Autorização;RURAL;33
2022;12;BRASIL TECPAR;BRASIL TECPAR;7756651000155;RS;Autorização;RURAL;28
2022;12;BRASIL TECPAR;BRASIL TECPAR;7756651000155;RS;Autorização;RURAL;75
2022;12;BRASIL TECPAR;BRASIL TECPAR;7756651000155;RS;Autorização;RURAL;8
2022;12;BRASIL TECPAR;BRASIL TECPAR;7756651000155;RS;Autorização;RURAL;1
2022;12;BRASIL TECPAR;BRASIL TECPAR;7756651000155;RS;Autorização;RURAL;360
2022;12;BRASIL TECPAR;BRASIL TECPAR;7756651000155;RS;Autorização;RURAL;96
2022;12;BRASIL TECPAR;BRASIL TECPAR;7756651000155;RS;Autorização;RURAL;131
2022;12;BRASIL TECPAR;BRASIL TECPAR;7756651000155;RS;Autorização;RURAL;13
2022;12;BRASIL TECPAR;BRASIL TECPAR;7756651000155;RS;Autorização;RURAL;7
2022;12;BRASIL TECPAR;BRASIL TECPAR;7756651000155;RS;Autorização;RURAL;195
2022;12;BRASIL TECPAR;BRASIL TECPAR;7756651000155;RS;Autorização;RURAL;27
2022;12;BRASIL TECPAR;BRASIL TECPAR;7756651000155;RS;Autorização;RURAL;5
2022;12;BRASIL TECPAR;BRASIL TECPAR;7756651000155;RS;Autorização;RURAL;63
2022;12;BRASIL TECPAR;BRASIL TECPAR;7756651000155;RS;Autorização;RURAL;97
2022;12;BRASIL TECPAR;BRASIL TECPAR;7756651000155;RS;Autorização;RURAL;2
2022;12;BRASIL TECPAR;BRASIL TECPAR;7756651000155;RS;Autorização;RURAL;1
2022;12;BRASIL TECPAR;BRASIL TECPAR;7756651000155;RS;Autorização;RURAL;106
2022;12;BRASIL TECPAR;BRASIL TECPAR;7756651000155;RS;Autorização;RURAL;12
2022;12;BRASIL TECPAR;BRASIL TECPAR;7756651000155;RS;Autorização;RURAL;304
